feature,mean_shap,abs_mean_shap,std_shap,type
ECFP6_703,0.00095904386,0.00894728,0.021634126,ECFP6 Fingerprint
mordred_GGI6,0.0020907922,0.0089283325,0.011740766,Mordred 2D
mordred_AATSC6dv,0.00033985873,0.008854237,0.012155518,Mordred 2D
MACCS_107,-0.00042231492,0.008842319,0.016334215,MACCS Key
mordred_SMR_VSA6,0.00060297037,0.008836525,0.01204266,Mordred 2D
mordred_GATS7dv,-0.00030006788,0.008822728,0.011880439,Mordred 2D
mordred_AETA_beta,0.00015135581,0.00881553,0.014314957,Mordred 2D
mordred_EState_VSA9,0.00024389329,0.008800742,0.012091355,Mordred 2D
mordred_ATSC2d,-0.0015191064,0.008792982,0.011510533,Mordred 2D
mordred_AATS0v,0.0003123522,0.008785535,0.018435702,Mordred 2D
mordred_ATSC1se,0.00086072343,0.008726759,0.014012097,Mordred 2D
mordred_GATS8dv,6.93979e-05,0.008720757,0.012182723,Mordred 2D
mordred_AATS8se,0.00054468977,0.0087142065,0.0118726725,Mordred 2D
mordred_nAromAtom,0.0018178158,0.008678958,0.011309393,Mordred 2D
mordred_EState_VSA5,0.0008154064,0.008658217,0.011028151,Mordred 2D
mordred_AATSC7s,-0.0015893261,0.008588093,0.012181259,Mordred 2D
mordred_ATSC1v,5.1471266e-05,0.008584621,0.011613565,Mordred 2D
mordred_BCUTd-1h,0.00063603214,0.00854945,0.011914534,Mordred 2D
mordred_ATSC6d,-0.0004712171,0.008542621,0.013529896,Mordred 2D
mordred_ATSC8i,0.0010223766,0.008532104,0.011183186,Mordred 2D
mordred_ATSC4Z,0.00082611,0.008519086,0.011921463,Mordred 2D
mordred_fragCpx,7.69845e-05,0.0085185645,0.0131580895,Mordred 2D
mordred_GATS8p,0.0013417082,0.008512159,0.01146289,Mordred 2D
mordred_ZMIC1,0.00069503556,0.008498307,0.012448141,Mordred 2D
mordred_ATSC7s,-7.4875425e-05,0.008492429,0.012078168,Mordred 2D
